Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
GGA1	22q13.1	10.63	10.45	0.24	0.32	0.18	4.889e-5	5.953e-3	(A) BLACK OR AFRICAN AMERICAN
KRTAP4-3	17q21.2	1.40	0.07	1.93	0.47	1.33	5.141e-5	6.222e-3	(A) BLACK OR AFRICAN AMERICAN
WASH8P	12p13.33	9.12	8.67	0.62	0.75	0.45	5.307e-5	6.384e-3	(A) BLACK OR AFRICAN AMERICAN
NEURL4	17p13.1	9.43	9.20	0.31	0.38	0.23	5.601e-5	6.659e-3	(A) BLACK OR AFRICAN AMERICAN
ANKK1	11q23.2	4.82	4.04	1.09	1.08	0.78	5.878e-5	6.946e-3	(A) BLACK OR AFRICAN AMERICAN
SPSB2	12p13.31	7.05	6.66	0.54	0.62	0.39	6.030e-5	7.084e-3	(A) BLACK OR AFRICAN AMERICAN
RFPL3S	22q12.3	3.51	2.92	0.80	1.10	0.59	6.223e-5	7.254e-3	(A) BLACK OR AFRICAN AMERICAN
DHX34	19q13.32	9.09	8.78	0.42	0.46	0.30	6.247e-5	7.254e-3	(A) BLACK OR AFRICAN AMERICAN
CACTIN	19p13.3	9.13	8.93	0.25	0.40	0.19	6.432e-5	7.412e-3	(A) BLACK OR AFRICAN AMERICAN
PIANP	12p13.31	4.65	5.40	1.05	1.09	-0.75	6.459e-5	7.412e-3	(B) WHITE
HEXD	17q25.3	9.52	9.10	0.58	0.73	0.42	6.565e-5	7.412e-3	(A) BLACK OR AFRICAN AMERICAN
LINC00926	15q21.3	4.98	4.30	0.94	1.15	0.68	6.577e-5	7.412e-3	(A) BLACK OR AFRICAN AMERICAN
RAB24	5q35.3	9.76	9.43	0.47	0.57	0.34	6.616e-5	7.412e-3	(A) BLACK OR AFRICAN AMERICAN
