Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
PRPF18	10p13	0.05	0.06	0.01	0.02	-0.01	2.083e-4	0.0146	(B) WHITE
HEPHL1	11q21	0.47	0.35	0.18	0.16	0.12	2.094e-4	0.0146	(A) BLACK OR AFRICAN AMERICAN
RPL23P8	7p21.1	0.56	0.61	0.07	0.09	-0.05	2.109e-4	0.0146	(B) WHITE
CIB1	15q26.1	0.59	0.69	0.15	0.15	-0.10	2.188e-4	0.0151	(B) WHITE
VCPKMT	14q21.3	0.07	0.10	0.04	0.03	-0.02	2.250e-4	0.0155	(B) WHITE
TUBD1	17q23.1	0.05	0.05	0.01	0.02	-0.01	2.257e-4	0.0155	(B) WHITE
ASNA1	19p13.13	0.05	0.06	0.01	0.02	-0.01	2.266e-4	0.0155	(B) WHITE
UVSSA	4p16.3	0.68	0.59	0.14	0.14	0.09	2.342e-4	0.0159	(A) BLACK OR AFRICAN AMERICAN
SLC25A24	1p13.3	0.61	0.49	0.18	0.18	0.11	2.368e-4	0.0160	(A) BLACK OR AFRICAN AMERICAN
DDX24	14q32.12	0.92	0.90	0.02	0.04	0.02	2.406e-4	0.0162	(A) BLACK OR AFRICAN AMERICAN
SMIM8	6q15	0.05	0.06	0.02	0.02	-0.01	2.466e-4	0.0165	(B) WHITE
DESI2	1q44	0.03	0.03	0.00	0.02	-0.00	2.480e-4	0.0166	(B) WHITE
CNPY4	7q22.1	0.10	0.11	0.02	0.03	-0.01	2.529e-4	0.0168	(B) WHITE
NIPA1	15q11.2	0.91	0.88	0.04	0.09	0.03	2.553e-4	0.0169	(A) BLACK OR AFRICAN AMERICAN
RBBP4	1p35.1	0.73	0.68	0.08	0.09	0.05	2.567e-4	0.0169	(A) BLACK OR AFRICAN AMERICAN
RNF217-AS1	6q22.31	0.45	0.32	0.20	0.19	0.13	2.578e-4	0.0169	(A) BLACK OR AFRICAN AMERICAN
DAD1	14q11.2	0.03	0.04	0.01	0.01	-0.01	2.582e-4	0.0169	(B) WHITE
CORO7	16p13.3	0.05	0.06	0.02	0.02	-0.01	2.610e-4	0.0170	(B) WHITE
GMEB1	1p35.3	0.51	0.42	0.15	0.13	0.09	2.688e-4	0.0174	(A) BLACK OR AFRICAN AMERICAN
DDX42	17q23.3	0.74	0.67	0.10	0.12	0.06	2.801e-4	0.0181	(A) BLACK OR AFRICAN AMERICAN
MYO10	5p15.1	0.65	0.68	0.04	0.05	-0.03	2.835e-4	0.0181	(B) WHITE
LRRC34	3q26.2	0.61	0.48	0.21	0.20	0.13	2.844e-4	0.0181	(A) BLACK OR AFRICAN AMERICAN
MRPL51	12p13.31	0.04	0.05	0.01	0.01	-0.01	2.853e-4	0.0181	(B) WHITE
CDC42EP2	11q13.1	0.66	0.58	0.12	0.15	0.08	2.857e-4	0.0181	(A) BLACK OR AFRICAN AMERICAN
RRAGA	9p22.1	0.06	0.07	0.02	0.03	-0.01	2.881e-4	0.0182	(B) WHITE
SLC35B3	6p24.3	0.84	0.78	0.08	0.10	0.05	2.895e-4	0.0182	(A) BLACK OR AFRICAN AMERICAN
IRS2	13q34	0.26	0.32	0.10	0.14	-0.07	2.944e-4	0.0183	(B) WHITE
UROS	10q26.2	0.04	0.05	0.01	0.02	-0.01	2.973e-4	0.0183	(B) WHITE
ELOVL2	6p24.2	0.12	0.18	0.10	0.13	-0.07	2.982e-4	0.0183	(B) WHITE
LOC285074	2p11.2	0.04	0.05	0.01	0.01	-0.01	2.982e-4	0.0183	(B) WHITE
SEC11A	15q25.2-q25.3	0.06	0.07	0.02	0.02	-0.01	2.984e-4	0.0183	(B) WHITE
PIGF	2p21	0.03	0.04	0.01	0.02	-0.01	3.003e-4	0.0183	(B) WHITE
NR2C2AP	19p13.11	0.07	0.09	0.02	0.03	-0.01	3.014e-4	0.0183	(B) WHITE
ZBTB8OS	1p35.1	0.04	0.04	0.01	0.01	-0.01	3.019e-4	0.0183	(B) WHITE
SNRPA1	15q26.3	0.04	0.04	0.01	0.01	-0.00	3.020e-4	0.0183	(B) WHITE
SEC11C	18q21.32	0.82	0.74	0.13	0.16	0.09	3.035e-4	0.0184	(A) BLACK OR AFRICAN AMERICAN
ZBTB40	1p36.12	0.73	0.62	0.17	0.21	0.11	3.057e-4	0.0184	(A) BLACK OR AFRICAN AMERICAN
GYG1	3q24	0.65	0.60	0.09	0.10	0.06	3.062e-4	0.0184	(A) BLACK OR AFRICAN AMERICAN
TIMM9	14q23.1	0.05	0.06	0.01	0.02	-0.01	3.097e-4	0.0185	(B) WHITE
CCAR1	10q21.3	0.62	0.51	0.17	0.15	0.11	3.148e-4	0.0188	(A) BLACK OR AFRICAN AMERICAN
SOBP	6q21	0.51	0.37	0.21	0.24	0.14	3.192e-4	0.0189	(A) BLACK OR AFRICAN AMERICAN
GMCL2	5q35.3	0.72	0.68	0.06	0.10	0.04	3.232e-4	0.0190	(A) BLACK OR AFRICAN AMERICAN
ANXA8	10q11.22	0.80	0.86	0.09	0.06	-0.05	3.232e-4	0.0190	(B) WHITE
VWA3A	16p12.2	0.53	0.42	0.16	0.17	0.10	3.251e-4	0.0191	(A) BLACK OR AFRICAN AMERICAN
LOC100192426	18p11.23	0.90	0.88	0.04	0.06	0.03	3.284e-4	0.0192	(A) BLACK OR AFRICAN AMERICAN
WDR37	10p15.3	0.90	0.85	0.08	0.10	0.05	3.302e-4	0.0192	(A) BLACK OR AFRICAN AMERICAN
NPC2	14q24.3	0.04	0.04	0.01	0.01	-0.01	3.371e-4	0.0195	(B) WHITE
YPEL1	22q11.21-q11.22	0.33	0.24	0.15	0.14	0.09	3.372e-4	0.0195	(A) BLACK OR AFRICAN AMERICAN
CHAC1	15q15.1	0.90	0.89	0.02	0.04	0.02	3.399e-4	0.0195	(A) BLACK OR AFRICAN AMERICAN
TXN2	22q12.3	0.09	0.08	0.02	0.03	0.01	3.405e-4	0.0195	(A) BLACK OR AFRICAN AMERICAN
ZNF321P	19q13.41	0.05	0.06	0.01	0.02	-0.01	3.498e-4	0.0200	(B) WHITE
AMDHD1	12q23.1	0.48	0.36	0.19	0.20	0.12	3.506e-4	0.0200	(A) BLACK OR AFRICAN AMERICAN
KCTD5	16p13.3	0.90	0.88	0.03	0.05	0.02	3.531e-4	0.0200	(A) BLACK OR AFRICAN AMERICAN
MRPS5	2q11.1	0.02	0.03	0.01	0.01	-0.00	3.537e-4	0.0200	(B) WHITE
DOK7	4p16.3	0.34	0.44	0.16	0.14	-0.10	3.639e-4	0.0205	(B) WHITE
GP6	19q13.42	0.67	0.76	0.13	0.12	-0.08	3.662e-4	0.0205	(B) WHITE
LIN37	19q13.12	0.06	0.07	0.01	0.02	-0.01	3.667e-4	0.0205	(B) WHITE
FLJ12825	12q13.13	0.74	0.82	0.13	0.11	-0.08	3.679e-4	0.0205	(B) WHITE
RNASEH2C	11q13.1	0.20	0.23	0.04	0.05	-0.03	3.716e-4	0.0206	(B) WHITE
GINM1	6q25.1	0.07	0.06	0.01	0.02	0.01	3.734e-4	0.0207	(A) BLACK OR AFRICAN AMERICAN
TFG	3q12.2	0.03	0.03	0.01	0.01	0.01	3.760e-4	0.0207	(A) BLACK OR AFRICAN AMERICAN
RPS26	12q13.2	0.05	0.06	0.01	0.02	-0.01	3.821e-4	0.0209	(B) WHITE
ZNF518A	10q24.1	0.78	0.74	0.06	0.09	0.04	3.823e-4	0.0209	(A) BLACK OR AFRICAN AMERICAN
PVRIG	7q22.1	0.64	0.66	0.04	0.06	-0.03	3.837e-4	0.0209	(B) WHITE
LSM3	3p25.1	0.05	0.06	0.01	0.01	-0.01	3.939e-4	0.0214	(B) WHITE
CCDC85C	14q32.2	0.33	0.37	0.08	0.09	-0.05	3.978e-4	0.0215	(B) WHITE
SLC25A28	10q24.2	0.03	0.04	0.01	0.01	-0.01	4.007e-4	0.0215	(B) WHITE
RALGDS	9q34.13-q34.2	0.42	0.35	0.12	0.12	0.07	4.009e-4	0.0215	(A) BLACK OR AFRICAN AMERICAN
CEP57L1	6q21	0.45	0.41	0.06	0.07	0.04	4.010e-4	0.0215	(A) BLACK OR AFRICAN AMERICAN
OXCT2	1p34.2	0.81	0.76	0.08	0.11	0.05	4.030e-4	0.0215	(A) BLACK OR AFRICAN AMERICAN
EMB	5q11.1	0.74	0.66	0.13	0.14	0.08	4.041e-4	0.0215	(A) BLACK OR AFRICAN AMERICAN
AIM2	1q23.1-q23.2	0.63	0.76	0.22	0.17	-0.13	4.079e-4	0.0217	(B) WHITE
PMVK	1q21.3	0.06	0.07	0.02	0.02	-0.01	4.154e-4	0.0220	(B) WHITE
PHLDB2	3q13.2	0.70	0.57	0.20	0.23	0.12	4.170e-4	0.0220	(A) BLACK OR AFRICAN AMERICAN
PRSS3	9p13.3	0.44	0.49	0.08	0.10	-0.05	4.183e-4	0.0220	(B) WHITE
PF4V1	4q13.3	0.55	0.45	0.16	0.16	0.10	4.219e-4	0.0221	(A) BLACK OR AFRICAN AMERICAN
GPR176	15q14-q15.1	0.82	0.76	0.09	0.14	0.06	4.324e-4	0.0226	(A) BLACK OR AFRICAN AMERICAN
EHMT2	6p21.33	0.25	0.16	0.15	0.11	0.09	4.340e-4	0.0226	(A) BLACK OR AFRICAN AMERICAN
NCF1C	7q11.23	0.67	0.61	0.10	0.11	0.06	4.391e-4	0.0228	(A) BLACK OR AFRICAN AMERICAN
KLK5	19q13.41	0.80	0.92	0.21	0.03	-0.12	4.470e-4	0.0231	(B) WHITE
HIST1H4H	6p22.2	0.04	0.04	0.01	0.01	-0.01	4.482e-4	0.0231	(B) WHITE
CR1L	1q32.2	0.90	0.88	0.03	0.08	0.03	4.535e-4	0.0232	(A) BLACK OR AFRICAN AMERICAN
MRPS10	6p21.1	0.11	0.08	0.05	0.04	0.03	4.542e-4	0.0232	(A) BLACK OR AFRICAN AMERICAN
FAM107A	3p14.3-p14.2	0.44	0.36	0.13	0.16	0.08	4.559e-4	0.0233	(A) BLACK OR AFRICAN AMERICAN
CDAN1	15q15.2	0.91	0.93	0.04	0.05	-0.02	4.637e-4	0.0236	(B) WHITE
CACNA1C	12p13.33	0.49	0.40	0.15	0.17	0.09	4.711e-4	0.0239	(A) BLACK OR AFRICAN AMERICAN
CCDC83	11q14.1-q14.2	0.02	0.02	0.01	0.02	-0.01	4.776e-4	0.0241	(B) WHITE
ELOF1	19p13.2	0.10	0.11	0.03	0.04	-0.02	4.927e-4	0.0247	(B) WHITE
HAMP	19q13.12	0.62	0.52	0.16	0.17	0.10	4.932e-4	0.0247	(A) BLACK OR AFRICAN AMERICAN
MAPK8IP2	22q13.33	0.61	0.70	0.14	0.13	-0.09	4.949e-4	0.0248	(B) WHITE
ADIPOR1	1q32.1	0.89	0.84	0.07	0.12	0.05	4.990e-4	0.0249	(A) BLACK OR AFRICAN AMERICAN
TMEM50B	21q22.11	0.90	0.86	0.06	0.09	0.04	5.071e-4	0.0252	(A) BLACK OR AFRICAN AMERICAN
UPK3A	22q13.31	0.30	0.37	0.10	0.11	-0.06	5.123e-4	0.0254	(B) WHITE
ABCC4	13q32.1	0.62	0.75	0.21	0.17	-0.12	5.175e-4	0.0256	(B) WHITE
HIST1H2BG	6p22.2	0.04	0.05	0.01	0.04	-0.01	5.287e-4	0.0260	(B) WHITE
DNAJB11	3q27.3	0.05	0.06	0.02	0.02	-0.01	5.378e-4	0.0264	(B) WHITE
SUSD1	9q31.3-q32	0.61	0.54	0.11	0.13	0.07	5.414e-4	0.0265	(A) BLACK OR AFRICAN AMERICAN
PGM1	1p31.3	0.65	0.55	0.16	0.17	0.10	5.477e-4	0.0266	(A) BLACK OR AFRICAN AMERICAN
IVL	1q21.3	0.26	0.34	0.13	0.14	-0.08	5.503e-4	0.0266	(B) WHITE
POLR2G	11q12.3	0.09	0.10	0.01	0.02	-0.01	5.504e-4	0.0266	(B) WHITE
PATJ	1p31.3	0.04	0.05	0.01	0.04	-0.01	5.517e-4	0.0266	(B) WHITE
DBP	19q13.33	0.10	0.13	0.05	0.04	-0.03	5.594e-4	0.0267	(B) WHITE
HINT1	5q23.3	0.01	0.02	0.00	0.00	-0.00	5.596e-4	0.0267	(B) WHITE
N4BP2	4p14	0.31	0.18	0.21	0.17	0.13	5.612e-4	0.0267	(A) BLACK OR AFRICAN AMERICAN
MPP2	17q21.31	0.85	0.82	0.05	0.07	0.03	5.630e-4	0.0267	(A) BLACK OR AFRICAN AMERICAN
ZNF215	11p15.4	0.23	0.34	0.17	0.20	-0.11	5.640e-4	0.0267	(B) WHITE
LRWD1	7q22.1	0.04	0.05	0.01	0.03	-0.01	5.640e-4	0.0267	(B) WHITE
LENG1	19q13.42	0.06	0.09	0.05	0.04	-0.03	5.683e-4	0.0269	(B) WHITE
CSNK2B	6p21.33	0.09	0.10	0.02	0.02	-0.01	5.754e-4	0.0271	(B) WHITE
RIBC2	22q13.31	0.28	0.17	0.19	0.13	0.11	5.787e-4	0.0272	(A) BLACK OR AFRICAN AMERICAN
APBB1IP	10p12.1	0.34	0.44	0.18	0.16	-0.10	5.896e-4	0.0276	(B) WHITE
ALG10B	12q12	0.03	0.04	0.01	0.02	-0.01	5.902e-4	0.0276	(B) WHITE
LRP5	11q13.2	0.37	0.24	0.21	0.21	0.13	6.016e-4	0.0280	(A) BLACK OR AFRICAN AMERICAN
LOC100133331	1p36.33	0.87	0.93	0.10	0.07	-0.06	6.034e-4	0.0280	(B) WHITE
LINC00239	14q32.31	0.55	0.44	0.18	0.20	0.11	6.038e-4	0.0280	(A) BLACK OR AFRICAN AMERICAN
NUDT13	10q22.2	0.24	0.09	0.25	0.10	0.14	6.095e-4	0.0281	(A) BLACK OR AFRICAN AMERICAN
WASHC3	12q23.2	0.04	0.04	0.01	0.02	-0.01	6.224e-4	0.0286	(B) WHITE
C14ORF28	14q21.2	0.71	0.64	0.12	0.13	0.07	6.260e-4	0.0287	(A) BLACK OR AFRICAN AMERICAN
DIP2C	10p15.3	0.95	0.92	0.03	0.08	0.03	6.273e-4	0.0287	(A) BLACK OR AFRICAN AMERICAN
MAP4K5	14q22.1	0.92	0.90	0.02	0.03	0.01	6.314e-4	0.0287	(A) BLACK OR AFRICAN AMERICAN
KRT75	12q13.13	0.42	0.37	0.10	0.10	0.06	6.321e-4	0.0287	(A) BLACK OR AFRICAN AMERICAN
RGPD5	2q13	0.38	0.35	0.06	0.08	0.03	6.329e-4	0.0287	(A) BLACK OR AFRICAN AMERICAN
PFDN6	6p21.32	0.05	0.06	0.01	0.02	-0.01	6.381e-4	0.0289	(B) WHITE
FAM66A	8p23.1	0.84	0.89	0.08	0.06	-0.05	6.413e-4	0.0289	(B) WHITE
PSMB5	14q11.2	0.03	0.04	0.01	0.01	-0.01	6.438e-4	0.0289	(B) WHITE
SGPP1	14q23.2	0.06	0.07	0.01	0.03	-0.01	6.540e-4	0.0293	(B) WHITE
CEACAM1	19q13.2	0.38	0.29	0.15	0.14	0.09	6.545e-4	0.0293	(A) BLACK OR AFRICAN AMERICAN
ADPGK	15q24.1	0.08	0.10	0.04	0.04	-0.02	6.628e-4	0.0295	(B) WHITE
SQSTM1	5q35.3	0.91	0.90	0.02	0.05	0.02	6.678e-4	0.0297	(A) BLACK OR AFRICAN AMERICAN
RPLP0P2	11q12.2	0.34	0.39	0.08	0.10	-0.05	6.736e-4	0.0298	(B) WHITE
KBTBD8	3p14.1	0.04	0.05	0.01	0.03	-0.01	6.821e-4	0.0299	(B) WHITE
PLCG1	20q12	0.37	0.24	0.21	0.22	0.12	6.827e-4	0.0299	(A) BLACK OR AFRICAN AMERICAN
ARHGEF5	7q35	0.92	0.90	0.02	0.07	0.02	6.833e-4	0.0299	(A) BLACK OR AFRICAN AMERICAN
TMEM158	3p21.31	0.07	0.05	0.03	0.03	0.02	6.835e-4	0.0299	(A) BLACK OR AFRICAN AMERICAN
KIAA1324	1p13.3	0.29	0.23	0.11	0.12	0.07	7.017e-4	0.0307	(A) BLACK OR AFRICAN AMERICAN
ZNF180	19q13.31	0.02	0.03	0.01	0.04	-0.01	7.137e-4	0.0311	(B) WHITE
PSMB7	9q33.3	0.04	0.05	0.02	0.02	-0.01	7.148e-4	0.0311	(B) WHITE
NDUFAF2	5q12.1	0.06	0.08	0.02	0.02	-0.01	7.208e-4	0.0312	(B) WHITE
HTR3E	3q27.1	0.76	0.81	0.07	0.07	-0.04	7.240e-4	0.0313	(B) WHITE
H2AFY	5q31.1	0.37	0.24	0.22	0.16	0.13	7.255e-4	0.0313	(A) BLACK OR AFRICAN AMERICAN
KCNMB3	3q26.32	0.48	0.35	0.21	0.21	0.12	7.318e-4	0.0314	(A) BLACK OR AFRICAN AMERICAN
BTF3	5q13.2	0.08	0.09	0.02	0.03	-0.01	7.391e-4	0.0317	(B) WHITE
BCHE	3q26.1	0.41	0.28	0.22	0.17	0.13	7.461e-4	0.0319	(A) BLACK OR AFRICAN AMERICAN
TOMM70	3q12.2	0.04	0.05	0.01	0.03	-0.01	7.498e-4	0.0319	(B) WHITE
SURF4	9q34.2	0.79	0.75	0.07	0.08	0.04	7.504e-4	0.0319	(A) BLACK OR AFRICAN AMERICAN
PRUNE2	9q21.2	0.31	0.17	0.24	0.18	0.13	7.520e-4	0.0319	(A) BLACK OR AFRICAN AMERICAN
TMEM219	16p11.2	0.03	0.04	0.01	0.02	-0.01	7.738e-4	0.0327	(B) WHITE
PRKD1	14q12	0.88	0.85	0.05	0.07	0.03	7.810e-4	0.0329	(A) BLACK OR AFRICAN AMERICAN
TMX3	18q22.1	0.12	0.15	0.05	0.06	-0.03	7.838e-4	0.0329	(B) WHITE
FAM110A	20p13	0.10	0.12	0.03	0.03	-0.02	7.855e-4	0.0329	(B) WHITE
LACTB	15q22.2	0.03	0.04	0.00	0.01	-0.00	7.885e-4	0.0330	(B) WHITE
MBD6	12q13.3	0.49	0.38	0.19	0.17	0.11	7.941e-4	0.0331	(A) BLACK OR AFRICAN AMERICAN
CALML5	10p15.1	0.90	0.92	0.03	0.03	-0.02	7.980e-4	0.0332	(B) WHITE
CNN1	19p13.2	0.52	0.44	0.14	0.13	0.08	8.138e-4	0.0333	(A) BLACK OR AFRICAN AMERICAN
F3	1p21.3	0.77	0.69	0.13	0.18	0.08	8.141e-4	0.0333	(A) BLACK OR AFRICAN AMERICAN
CIAO2B	16q22.1	0.27	0.24	0.05	0.06	0.03	8.142e-4	0.0333	(A) BLACK OR AFRICAN AMERICAN
PODXL	7q32.3	0.79	0.73	0.09	0.11	0.06	8.151e-4	0.0333	(A) BLACK OR AFRICAN AMERICAN
VRK2	2p16.1	0.03	0.03	0.00	0.01	0.00	8.168e-4	0.0333	(A) BLACK OR AFRICAN AMERICAN
GAS1	9q21.33	0.35	0.25	0.16	0.16	0.09	8.176e-4	0.0333	(A) BLACK OR AFRICAN AMERICAN
FAM66E	8p23.1	0.13	0.10	0.05	0.05	0.03	8.178e-4	0.0333	(A) BLACK OR AFRICAN AMERICAN
ST7-OT4	7q31.2	0.05	0.06	0.01	0.03	-0.01	8.180e-4	0.0333	(B) WHITE
GZMM	19p13.3	0.57	0.49	0.13	0.16	0.08	8.232e-4	0.0334	(A) BLACK OR AFRICAN AMERICAN
ST8SIA4	5q21.1	0.06	0.09	0.04	0.09	-0.03	8.291e-4	0.0336	(B) WHITE
XPO4	13q12.11	0.89	0.87	0.03	0.05	0.02	8.343e-4	0.0337	(A) BLACK OR AFRICAN AMERICAN
BRSK2	11p15.5	0.51	0.43	0.13	0.16	0.08	8.399e-4	0.0338	(A) BLACK OR AFRICAN AMERICAN
GIT2	12q24.11	0.72	0.65	0.12	0.13	0.07	8.433e-4	0.0339	(A) BLACK OR AFRICAN AMERICAN
LILRA1	19q13.42	0.48	0.56	0.15	0.14	-0.09	8.470e-4	0.0340	(B) WHITE
LYRM1	16p12.3	0.03	0.04	0.02	0.02	-0.01	8.543e-4	0.0342	(B) WHITE
SULT1A1	16p11.2	0.83	0.85	0.03	0.04	-0.02	8.605e-4	0.0343	(B) WHITE
HIST1H2AB	6p22.2	0.04	0.05	0.03	0.06	-0.02	8.610e-4	0.0343	(B) WHITE
GREB1	2p25.1	0.71	0.78	0.12	0.13	-0.07	8.692e-4	0.0344	(B) WHITE
CMA1	14q12	0.74	0.83	0.15	0.09	-0.09	8.712e-4	0.0344	(B) WHITE
IK	5q31.3	0.07	0.09	0.03	0.05	-0.02	8.723e-4	0.0344	(B) WHITE
GLT8D2	12q23.3	0.74	0.68	0.09	0.12	0.06	8.821e-4	0.0347	(A) BLACK OR AFRICAN AMERICAN
GGT3P	22q11.21	0.80	0.82	0.04	0.04	-0.02	8.916e-4	0.0350	(B) WHITE
POLA2	11q13.1	0.49	0.40	0.16	0.16	0.09	8.956e-4	0.0350	(A) BLACK OR AFRICAN AMERICAN
PTBP3	9q32	0.02	0.02	0.00	0.00	0.00	8.987e-4	0.0350	(A) BLACK OR AFRICAN AMERICAN
PES1	22q12.2	0.03	0.04	0.01	0.01	-0.00	8.990e-4	0.0350	(B) WHITE
IGSF8	1q23.2	0.05	0.05	0.01	0.01	0.01	9.064e-4	0.0352	(A) BLACK OR AFRICAN AMERICAN
CPXM2	10q26.13	0.54	0.64	0.18	0.12	-0.10	9.119e-4	0.0353	(B) WHITE
IAH1	2p25.1	0.84	0.82	0.03	0.07	0.02	9.134e-4	0.0353	(A) BLACK OR AFRICAN AMERICAN
POLR2C	16q21	0.02	0.01	0.00	0.00	0.00	9.173e-4	0.0354	(A) BLACK OR AFRICAN AMERICAN
RFPL1	22q12.2	0.61	0.65	0.06	0.05	-0.03	9.206e-4	0.0354	(B) WHITE
CDH19	18q22.1	0.71	0.79	0.13	0.12	-0.08	9.367e-4	0.0360	(B) WHITE
CYB561D2	3p21.31	0.55	0.46	0.15	0.11	0.08	9.480e-4	0.0363	(A) BLACK OR AFRICAN AMERICAN
LOC400710	19q13.33	0.30	0.17	0.24	0.13	0.13	9.512e-4	0.0363	(A) BLACK OR AFRICAN AMERICAN
SH3RF3	2q13	0.71	0.64	0.11	0.13	0.06	9.514e-4	0.0363	(A) BLACK OR AFRICAN AMERICAN
LIN7A	12q21.31	0.10	0.17	0.11	0.20	-0.07	9.640e-4	0.0367	(B) WHITE
SLC12A8	3q21.2	0.72	0.68	0.06	0.09	0.04	9.710e-4	0.0368	(A) BLACK OR AFRICAN AMERICAN
CEP126	11q22.1	0.44	0.34	0.18	0.17	0.10	9.737e-4	0.0368	(A) BLACK OR AFRICAN AMERICAN
SRGAP2	1q32.1	0.94	0.93	0.01	0.02	0.01	9.803e-4	0.0370	(A) BLACK OR AFRICAN AMERICAN
BRD9	5p15.33	0.87	0.80	0.12	0.16	0.07	9.929e-4	0.0374	(A) BLACK OR AFRICAN AMERICAN
ST7	7q31.2	0.11	0.13	0.03	0.06	-0.02	1.005e-3	0.0378	(B) WHITE
KANSL1	17q21.31	0.92	0.90	0.02	0.03	0.01	1.011e-3	0.0379	(A) BLACK OR AFRICAN AMERICAN
SHD	19p13.3	0.54	0.47	0.13	0.12	0.07	1.015e-3	0.0380	(A) BLACK OR AFRICAN AMERICAN
CD302	2q24.2	0.08	0.03	0.10	0.03	0.05	1.017e-3	0.0380	(A) BLACK OR AFRICAN AMERICAN
OCM	7p22.1	0.36	0.42	0.10	0.08	-0.06	1.036e-3	0.0385	(B) WHITE
TMEM154	4q31.3	0.57	0.51	0.12	0.14	0.07	1.041e-3	0.0385	(A) BLACK OR AFRICAN AMERICAN
ARHGEF17	11q13.4	0.65	0.59	0.11	0.13	0.06	1.041e-3	0.0385	(A) BLACK OR AFRICAN AMERICAN
PHF5A	22q13.2	0.05	0.07	0.04	0.04	-0.02	1.042e-3	0.0385	(B) WHITE
MBTD1	17q21.33	0.59	0.51	0.15	0.16	0.09	1.049e-3	0.0386	(A) BLACK OR AFRICAN AMERICAN
GPX7	1p32.3	0.43	0.32	0.20	0.18	0.11	1.051e-3	0.0386	(A) BLACK OR AFRICAN AMERICAN
C10ORF12	10q24.1	0.60	0.58	0.04	0.06	0.02	1.055e-3	0.0386	(A) BLACK OR AFRICAN AMERICAN
VPS45	1q21.2	0.07	0.08	0.02	0.02	-0.01	1.055e-3	0.0386	(B) WHITE
GLT1D1	12q24.33	0.46	0.36	0.16	0.20	0.09	1.067e-3	0.0389	(A) BLACK OR AFRICAN AMERICAN
ABT1	6p22.2	0.77	0.71	0.10	0.13	0.06	1.069e-3	0.0389	(A) BLACK OR AFRICAN AMERICAN
ZNF160	19q13.41-q13.42	0.85	0.83	0.04	0.06	0.02	1.070e-3	0.0389	(A) BLACK OR AFRICAN AMERICAN
NCK1	3q22.3	0.68	0.63	0.08	0.09	0.05	1.079e-3	0.0391	(A) BLACK OR AFRICAN AMERICAN
MRTFB	16p13.12	0.84	0.79	0.08	0.11	0.05	1.080e-3	0.0391	(A) BLACK OR AFRICAN AMERICAN
SPATA31C1	9q22.1	0.73	0.78	0.09	0.06	-0.05	1.083e-3	0.0391	(B) WHITE
UQCC1	20q11.22	0.83	0.76	0.12	0.16	0.07	1.089e-3	0.0392	(A) BLACK OR AFRICAN AMERICAN
ZNF567	19q13.12	0.05	0.06	0.02	0.02	-0.01	1.099e-3	0.0394	(B) WHITE
CBR4	4q32.3	0.81	0.72	0.16	0.17	0.09	1.100e-3	0.0394	(A) BLACK OR AFRICAN AMERICAN
ARSI	5q32	0.76	0.72	0.07	0.07	0.04	1.101e-3	0.0394	(A) BLACK OR AFRICAN AMERICAN
CBLN4	20q13.2	0.18	0.23	0.09	0.11	-0.05	1.105e-3	0.0394	(B) WHITE
RER1	1p36.32	0.73	0.64	0.16	0.18	0.09	1.108e-3	0.0394	(A) BLACK OR AFRICAN AMERICAN
AGT	1q42.2	0.66	0.61	0.08	0.10	0.05	1.126e-3	0.0400	(A) BLACK OR AFRICAN AMERICAN
ATP23	12q14.1	0.11	0.14	0.06	0.05	-0.03	1.130e-3	0.0400	(B) WHITE
PLCL2	3p24.3	0.65	0.56	0.17	0.18	0.10	1.141e-3	0.0402	(A) BLACK OR AFRICAN AMERICAN
EMC7	15q14	0.05	0.05	0.02	0.02	-0.01	1.142e-3	0.0402	(B) WHITE
ATP5PD	17q25.1	0.05	0.05	0.01	0.01	-0.01	1.143e-3	0.0402	(B) WHITE
ZNF831	20q13.32	0.63	0.55	0.15	0.15	0.08	1.144e-3	0.0402	(A) BLACK OR AFRICAN AMERICAN
NDUFC2	11q14.1	0.03	0.03	0.01	0.01	-0.00	1.148e-3	0.0402	(B) WHITE
SLC35C2	20q13.12	0.05	0.05	0.01	0.01	-0.01	1.153e-3	0.0403	(B) WHITE
RTCB	22q12.3	0.61	0.53	0.15	0.16	0.09	1.158e-3	0.0404	(A) BLACK OR AFRICAN AMERICAN
TPTE	21p11.2	0.53	0.59	0.10	0.11	-0.06	1.160e-3	0.0404	(B) WHITE
TCAF2	7q35	0.02	0.02	0.00	0.01	-0.00	1.189e-3	0.0413	(B) WHITE
PIN1P1	1p31.1	0.65	0.72	0.12	0.09	-0.06	1.192e-3	0.0413	(B) WHITE
KCNK9	8q24.3	0.40	0.51	0.19	0.19	-0.11	1.195e-3	0.0413	(B) WHITE
LOC100240735	12q13.13	0.81	0.88	0.12	0.09	-0.07	1.202e-3	0.0414	(B) WHITE
MRPL32	7p14.1	0.04	0.05	0.01	0.02	-0.01	1.207e-3	0.0414	(B) WHITE
XYLT1	16p12.3	0.63	0.57	0.11	0.15	0.06	1.209e-3	0.0414	(A) BLACK OR AFRICAN AMERICAN
PDE6D	2q37.1	0.03	0.03	0.01	0.01	-0.01	1.210e-3	0.0414	(B) WHITE
