Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
TRDN	6q22.31	0.79	0.70	0.11	0.18	0.09	4.657e-5	5.693e-3	(A) BLACK OR AFRICAN AMERICAN
TIPRL	1q24.2	0.11	0.06	0.07	0.04	0.05	4.678e-5	5.693e-3	(A) BLACK OR AFRICAN AMERICAN
SPCS1	3p21.1	0.04	0.04	0.01	0.01	-0.01	4.686e-5	5.693e-3	(B) WHITE
NGRN	15q26.1	0.02	0.03	0.01	0.01	-0.01	4.733e-5	5.693e-3	(B) WHITE
INPP1	2q32.2	0.51	0.41	0.14	0.16	0.10	4.754e-5	5.693e-3	(A) BLACK OR AFRICAN AMERICAN
METTL5	2q31.1	0.05	0.06	0.01	0.01	-0.01	4.758e-5	5.693e-3	(B) WHITE
NGDN	14q11.2	0.04	0.05	0.01	0.02	-0.01	4.860e-5	5.770e-3	(B) WHITE
C2ORF27A	2q21.2	0.66	0.70	0.06	0.07	-0.04	5.155e-5	6.058e-3	(B) WHITE
RUFY1	5q35.3	0.08	0.13	0.06	0.07	-0.04	5.212e-5	6.058e-3	(B) WHITE
DTYMK	2q37.3	0.07	0.09	0.02	0.02	-0.01	5.219e-5	6.058e-3	(B) WHITE
HMGN4	6p22.2	0.04	0.06	0.01	0.04	-0.01	5.432e-5	6.258e-3	(B) WHITE
LOC728554	5q35.3	0.08	0.09	0.02	0.02	-0.01	5.608e-5	6.372e-3	(B) WHITE
MYO1B	2q32.3	0.04	0.09	0.05	0.12	-0.05	5.613e-5	6.372e-3	(B) WHITE
CUL3	2q36.2	0.94	0.93	0.01	0.01	0.01	5.790e-5	6.526e-3	(A) BLACK OR AFRICAN AMERICAN
ANKRD6	6q15	0.50	0.39	0.16	0.21	0.12	5.832e-5	6.526e-3	(A) BLACK OR AFRICAN AMERICAN
COX6A1	12q24.31|12q24.2	0.09	0.13	0.06	0.05	-0.04	5.875e-5	6.527e-3	(B) WHITE
APIP	11p13	0.29	0.20	0.13	0.10	0.09	6.118e-5	6.749e-3	(A) BLACK OR AFRICAN AMERICAN
TCTEX1D2	3q29	0.07	0.08	0.02	0.02	-0.01	6.310e-5	6.912e-3	(B) WHITE
GMCL1	2p13.3	0.49	0.53	0.05	0.10	-0.04	6.517e-5	7.078e-3	(B) WHITE
PI16	6p21.2	0.75	0.68	0.09	0.12	0.07	6.553e-5	7.078e-3	(A) BLACK OR AFRICAN AMERICAN
MRPS22	3q23	0.08	0.09	0.02	0.03	-0.02	6.728e-5	7.113e-3	(B) WHITE
HIST2H2AC	1q21.2	0.04	0.05	0.01	0.05	-0.02	6.797e-5	7.113e-3	(B) WHITE
DISP2	15q15.1	0.37	0.28	0.13	0.13	0.09	6.830e-5	7.113e-3	(A) BLACK OR AFRICAN AMERICAN
C2CD6	2q33.1	0.95	0.92	0.05	0.09	0.04	6.853e-5	7.113e-3	(A) BLACK OR AFRICAN AMERICAN
PSMD5	9q33.2	0.10	0.16	0.08	0.10	-0.06	6.855e-5	7.113e-3	(B) WHITE
POLR1C	6p21.1	0.10	0.12	0.03	0.03	-0.02	6.860e-5	7.113e-3	(B) WHITE
MAB21L2	4q31.3	0.94	0.92	0.04	0.05	0.03	6.909e-5	7.113e-3	(A) BLACK OR AFRICAN AMERICAN
RFC5	12q24.23	0.05	0.05	0.01	0.01	0.01	6.959e-5	7.113e-3	(A) BLACK OR AFRICAN AMERICAN
DROSHA	5p13.3	0.72	0.65	0.09	0.13	0.07	6.996e-5	7.113e-3	(A) BLACK OR AFRICAN AMERICAN
TBXAS1	7q34	0.73	0.69	0.06	0.10	0.04	7.125e-5	7.196e-3	(A) BLACK OR AFRICAN AMERICAN
UBE2I	16p13.3	0.72	0.61	0.16	0.17	0.11	7.348e-5	7.374e-3	(A) BLACK OR AFRICAN AMERICAN
EEF1AKMT2	10q26.13	0.05	0.06	0.01	0.01	-0.01	7.547e-5	7.525e-3	(B) WHITE
CHCHD1	10q22.2	0.02	0.02	0.00	0.01	-0.00	7.958e-5	7.884e-3	(B) WHITE
CROCCP3	1p36.13	0.66	0.71	0.06	0.05	-0.04	8.063e-5	7.938e-3	(B) WHITE
FTH1	11q12.3	0.33	0.20	0.19	0.14	0.13	8.264e-5	8.047e-3	(A) BLACK OR AFRICAN AMERICAN
