Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
IGF1R	15q26.3	0.73	0.62	0.19	0.21	0.11	1.492e-5	1.028e-3	(A) BLACK OR AFRICAN AMERICAN
RTN4IP1	6q21	0.71	0.84	0.23	0.14	-0.13	1.520e-5	1.042e-3	(B) WHITE
ASIP	20q11.22	0.43	0.32	0.21	0.18	0.12	1.536e-5	1.049e-3	(A) BLACK OR AFRICAN AMERICAN
NUP93	16q13	0.70	0.80	0.17	0.14	-0.10	1.559e-5	1.060e-3	(B) WHITE
RPS26	12q13.2	0.06	0.07	0.02	0.03	-0.01	1.572e-5	1.060e-3	(B) WHITE
BPI	20q11.23	0.27	0.41	0.23	0.24	-0.13	1.574e-5	1.060e-3	(B) WHITE
ADCY6	12q13.12	0.35	0.25	0.18	0.13	0.10	1.592e-5	1.068e-3	(A) BLACK OR AFRICAN AMERICAN
PLGRKT	9p24.1	0.62	0.50	0.22	0.19	0.12	1.610e-5	1.075e-3	(A) BLACK OR AFRICAN AMERICAN
DUSP28	2q37.3	0.06	0.08	0.02	0.04	-0.02	1.623e-5	1.079e-3	(B) WHITE
DICER1	14q32.13	0.67	0.53	0.25	0.22	0.14	1.629e-5	1.079e-3	(A) BLACK OR AFRICAN AMERICAN
MTHFD1L	6q25.1	0.46	0.60	0.24	0.19	-0.13	1.642e-5	1.082e-3	(B) WHITE
ST8SIA6	10p12.33	0.46	0.35	0.20	0.18	0.11	1.678e-5	1.102e-3	(A) BLACK OR AFRICAN AMERICAN
ARL13B	3q11.1-q11.2	0.02	0.02	0.01	0.01	0.00	1.689e-5	1.104e-3	(A) BLACK OR AFRICAN AMERICAN
CHMP1A	16q24.3	0.84	0.85	0.03	0.03	-0.02	1.714e-5	1.115e-3	(B) WHITE
SLC9A5	16q22.1	0.81	0.83	0.05	0.04	-0.03	1.738e-5	1.126e-3	(B) WHITE
ADGRA3	4p15.2	0.62	0.76	0.23	0.17	-0.13	1.747e-5	1.127e-3	(B) WHITE
FAM171A2	17q21.31	0.04	0.06	0.02	0.07	-0.02	1.758e-5	1.130e-3	(B) WHITE
MGC57346	17q21.31	0.02	0.02	0.01	0.00	0.00	1.782e-5	1.140e-3	(A) BLACK OR AFRICAN AMERICAN
HSPA12A	10q25.3	0.41	0.31	0.18	0.14	0.10	1.848e-5	1.178e-3	(A) BLACK OR AFRICAN AMERICAN
SLC38A10	17q25.3	0.86	0.88	0.04	0.03	-0.02	1.870e-5	1.185e-3	(B) WHITE
SNX1	15q22.31	0.61	0.47	0.24	0.23	0.14	1.875e-5	1.185e-3	(A) BLACK OR AFRICAN AMERICAN
ETS1	11q24.3	0.25	0.36	0.18	0.22	-0.11	1.936e-5	1.218e-3	(B) WHITE
CEP131	17q25.3	0.92	0.93	0.02	0.02	-0.01	1.955e-5	1.221e-3	(B) WHITE
FAM92B	16q24.1	0.89	0.91	0.04	0.03	-0.02	1.955e-5	1.221e-3	(B) WHITE
ARHGEF19	1p36.13	0.50	0.61	0.20	0.16	-0.11	1.993e-5	1.239e-3	(B) WHITE
SNTA1	20q11.21	0.06	0.08	0.03	0.04	-0.02	2.045e-5	1.262e-3	(B) WHITE
TRERF1	6p21.1	0.50	0.35	0.27	0.23	0.15	2.047e-5	1.262e-3	(A) BLACK OR AFRICAN AMERICAN
AGAP2	12q14.1	0.44	0.56	0.21	0.21	-0.12	2.055e-5	1.262e-3	(B) WHITE
MPPED1	22q13.2	0.58	0.70	0.22	0.17	-0.12	2.103e-5	1.283e-3	(B) WHITE
SERP1	3q25.1	0.60	0.47	0.24	0.21	0.14	2.107e-5	1.283e-3	(A) BLACK OR AFRICAN AMERICAN
C6ORF15	6p21.33	0.72	0.82	0.18	0.11	-0.10	2.114e-5	1.283e-3	(B) WHITE
S100A2	1q21.3	0.36	0.46	0.19	0.17	-0.11	2.152e-5	1.297e-3	(B) WHITE
SS18L2	3p22.1	0.76	0.85	0.18	0.12	-0.10	2.159e-5	1.297e-3	(B) WHITE
PIH1D1	19q13.33	0.04	0.06	0.01	0.06	-0.01	2.163e-5	1.297e-3	(B) WHITE
ARID2	12q12	0.71	0.56	0.26	0.25	0.15	2.204e-5	1.317e-3	(A) BLACK OR AFRICAN AMERICAN
PLAC9	10q22.3	0.65	0.74	0.17	0.11	-0.09	2.256e-5	1.342e-3	(B) WHITE
SULT1A3	16p11.2	0.82	0.86	0.08	0.07	-0.04	2.279e-5	1.351e-3	(B) WHITE
ASPSCR1	17q25.3	0.83	0.85	0.03	0.03	-0.02	2.302e-5	1.359e-3	(B) WHITE
LENG1	19q13.42	0.08	0.12	0.06	0.06	-0.03	2.344e-5	1.373e-3	(B) WHITE
KMT2D	12q13.12	0.74	0.63	0.19	0.19	0.11	2.356e-5	1.373e-3	(A) BLACK OR AFRICAN AMERICAN
VWCE	11q12.2	0.74	0.82	0.13	0.10	-0.07	2.359e-5	1.373e-3	(B) WHITE
RAPGEF4	2q31.1	0.72	0.60	0.23	0.22	0.13	2.361e-5	1.373e-3	(A) BLACK OR AFRICAN AMERICAN
KLF14	7q32.2	0.36	0.51	0.27	0.25	-0.15	2.392e-5	1.386e-3	(B) WHITE
UGT2B11	4q13.2	0.43	0.32	0.20	0.14	0.11	2.429e-5	1.402e-3	(A) BLACK OR AFRICAN AMERICAN
TLCD3A	17p13.3	0.67	0.79	0.22	0.13	-0.12	2.449e-5	1.408e-3	(B) WHITE
CASP8	2q33.1	0.54	0.69	0.27	0.23	-0.15	2.496e-5	1.430e-3	(B) WHITE
MGAT4B	5q35.3	0.75	0.87	0.22	0.13	-0.12	2.523e-5	1.440e-3	(B) WHITE
SRRT	7q22.1	0.08	0.11	0.06	0.06	-0.03	2.587e-5	1.471e-3	(B) WHITE
FABP5	8q21.13	0.38	0.49	0.21	0.19	-0.12	2.610e-5	1.476e-3	(B) WHITE
SPEN	1p36.21-p36.13	0.08	0.06	0.04	0.03	0.02	2.616e-5	1.476e-3	(A) BLACK OR AFRICAN AMERICAN
TMEM74	8q23.1	0.19	0.32	0.22	0.26	-0.13	2.635e-5	1.482e-3	(B) WHITE
KCNC1	11p15.1	0.61	0.47	0.26	0.21	0.14	2.674e-5	1.498e-3	(A) BLACK OR AFRICAN AMERICAN
AMOTL1	11q21	0.37	0.48	0.20	0.20	-0.11	2.685e-5	1.498e-3	(B) WHITE
FMNL2	2q23.3	0.49	0.63	0.24	0.22	-0.14	2.699e-5	1.501e-3	(B) WHITE
TTC36	11q23.3	0.62	0.52	0.18	0.17	0.10	2.730e-5	1.513e-3	(A) BLACK OR AFRICAN AMERICAN
ASF1A	6q22.31	0.45	0.59	0.24	0.24	-0.13	2.757e-5	1.522e-3	(B) WHITE
EIF2B4	2p23.3	0.03	0.04	0.02	0.02	-0.01	2.782e-5	1.530e-3	(B) WHITE
REEP6	19p13.3	0.59	0.49	0.17	0.17	0.10	2.802e-5	1.536e-3	(A) BLACK OR AFRICAN AMERICAN
EDN3	20q13.32	0.32	0.42	0.19	0.19	-0.10	2.872e-5	1.563e-3	(B) WHITE
LMX1B	9q33.3	0.53	0.40	0.22	0.21	0.12	2.884e-5	1.563e-3	(A) BLACK OR AFRICAN AMERICAN
CUL9	6p21.1	0.90	0.92	0.03	0.02	-0.02	2.896e-5	1.563e-3	(B) WHITE
PTGIS	20q13.13	0.70	0.79	0.16	0.11	-0.09	2.903e-5	1.563e-3	(B) WHITE
CRNKL1	20p11.23	0.68	0.55	0.24	0.22	0.13	2.903e-5	1.563e-3	(A) BLACK OR AFRICAN AMERICAN
RHEB	7q36.1	0.74	0.85	0.21	0.12	-0.11	2.955e-5	1.586e-3	(B) WHITE
ATP5MC3	2q31.1	0.17	0.21	0.06	0.10	-0.04	2.966e-5	1.586e-3	(B) WHITE
EPHX4	1p22.1	0.29	0.38	0.17	0.19	-0.10	2.989e-5	1.593e-3	(B) WHITE
THAP4	2q37.3	0.82	0.85	0.06	0.05	-0.03	3.011e-5	1.596e-3	(B) WHITE
CPEB3	10q23.32	0.56	0.41	0.28	0.21	0.15	3.016e-5	1.596e-3	(A) BLACK OR AFRICAN AMERICAN
PRXL2B	1p36.32	0.94	0.90	0.05	0.14	0.04	3.055e-5	1.604e-3	(A) BLACK OR AFRICAN AMERICAN
TMEM132A	11q12.2	0.74	0.82	0.15	0.10	-0.08	3.065e-5	1.604e-3	(B) WHITE
WWTR1	3q25.1	0.48	0.62	0.26	0.22	-0.14	3.071e-5	1.604e-3	(B) WHITE
LOC148696	1q32.2	0.67	0.55	0.22	0.23	0.12	3.072e-5	1.604e-3	(A) BLACK OR AFRICAN AMERICAN
ITM2C	2q37.1	0.58	0.68	0.19	0.15	-0.11	3.118e-5	1.614e-3	(B) WHITE
BMF	15q15.1	0.46	0.55	0.16	0.16	-0.09	3.123e-5	1.614e-3	(B) WHITE
EMP2	16p13.13	0.46	0.36	0.19	0.16	0.10	3.124e-5	1.614e-3	(A) BLACK OR AFRICAN AMERICAN
HLA-DQB1	6p21.32	0.15	0.23	0.14	0.18	-0.08	3.143e-5	1.618e-3	(B) WHITE
PRSS21	16p13.3	0.72	0.62	0.18	0.20	0.10	3.175e-5	1.625e-3	(A) BLACK OR AFRICAN AMERICAN
NPAS1	19q13.32	0.81	0.83	0.03	0.03	-0.02	3.177e-5	1.625e-3	(B) WHITE
FBXL17	5q21.3	0.58	0.45	0.24	0.21	0.13	3.203e-5	1.633e-3	(A) BLACK OR AFRICAN AMERICAN
TMEM249	8q24.3	0.79	0.81	0.05	0.04	-0.02	3.226e-5	1.638e-3	(B) WHITE
RPS15	19p13.3	0.03	0.04	0.02	0.02	-0.01	3.250e-5	1.638e-3	(B) WHITE
PRKCA	17q24.2	0.67	0.79	0.23	0.16	-0.12	3.254e-5	1.638e-3	(B) WHITE
CDT1	16q24.3	0.03	0.03	0.00	0.00	-0.00	3.264e-5	1.638e-3	(B) WHITE
RAB32	6q24.3	0.36	0.49	0.23	0.21	-0.13	3.266e-5	1.638e-3	(B) WHITE
GRPEL2	5q32	0.59	0.47	0.22	0.19	0.12	3.300e-5	1.649e-3	(A) BLACK OR AFRICAN AMERICAN
FCGR2B	1q23.3	0.69	0.58	0.20	0.20	0.11	3.363e-5	1.675e-3	(A) BLACK OR AFRICAN AMERICAN
PDIK1L	1p36.11	0.53	0.43	0.19	0.16	0.10	3.379e-5	1.678e-3	(A) BLACK OR AFRICAN AMERICAN
ZNF133	20p11.23	0.07	0.09	0.03	0.05	-0.02	3.440e-5	1.703e-3	(B) WHITE
RHCE	1p36.11	0.81	0.86	0.08	0.06	-0.05	3.499e-5	1.726e-3	(B) WHITE
SLC5A12	11p14.2	0.64	0.52	0.22	0.22	0.12	3.522e-5	1.732e-3	(A) BLACK OR AFRICAN AMERICAN
RTF1	15q15.1	0.55	0.41	0.27	0.22	0.15	3.569e-5	1.749e-3	(A) BLACK OR AFRICAN AMERICAN
LOC100132215	2p15	0.45	0.58	0.24	0.19	-0.13	3.619e-5	1.764e-3	(B) WHITE
RNF2	1q25.3	0.27	0.20	0.12	0.10	0.07	3.622e-5	1.764e-3	(A) BLACK OR AFRICAN AMERICAN
MEX3D	19p13.3	0.70	0.63	0.13	0.17	0.07	3.638e-5	1.765e-3	(A) BLACK OR AFRICAN AMERICAN
SLC43A3	11q12.1	0.47	0.59	0.23	0.19	-0.12	3.661e-5	1.765e-3	(B) WHITE
SLC41A1	1q32.1	0.23	0.35	0.23	0.22	-0.13	3.673e-5	1.765e-3	(B) WHITE
YKT6	7p13	0.92	0.93	0.02	0.02	-0.01	3.678e-5	1.765e-3	(B) WHITE
MARCH8	10q11.21-q11.22	0.43	0.29	0.25	0.18	0.14	3.683e-5	1.765e-3	(A) BLACK OR AFRICAN AMERICAN
MAML2	11q21	0.30	0.42	0.22	0.22	-0.12	3.694e-5	1.765e-3	(B) WHITE
C7ORF26	7p22.1	0.91	0.92	0.03	0.02	-0.01	3.751e-5	1.785e-3	(B) WHITE
CDKN2B	9p21.3	0.62	0.72	0.18	0.13	-0.10	3.768e-5	1.785e-3	(B) WHITE
HPX	11p15.4	0.65	0.55	0.19	0.19	0.11	3.770e-5	1.785e-3	(A) BLACK OR AFRICAN AMERICAN
USP6NL	10p14	0.65	0.81	0.29	0.18	-0.15	3.793e-5	1.785e-3	(B) WHITE
SAMD8	10q22.2	0.64	0.49	0.27	0.24	0.15	3.799e-5	1.785e-3	(A) BLACK OR AFRICAN AMERICAN
ITGB8	7p21.1	0.67	0.78	0.21	0.14	-0.11	3.815e-5	1.785e-3	(B) WHITE
CHRNB2	1q21.3	0.53	0.42	0.20	0.23	0.11	3.829e-5	1.785e-3	(A) BLACK OR AFRICAN AMERICAN
CTDSP1	2q35	0.52	0.43	0.17	0.16	0.09	3.838e-5	1.785e-3	(A) BLACK OR AFRICAN AMERICAN
CLPTM1L	5p15.33	0.92	0.93	0.02	0.03	-0.01	3.840e-5	1.785e-3	(B) WHITE
TPPP	5p15.33	0.61	0.51	0.19	0.19	0.10	3.922e-5	1.818e-3	(A) BLACK OR AFRICAN AMERICAN
LINC02210	17q21.31	0.84	0.76	0.15	0.18	0.08	3.964e-5	1.831e-3	(A) BLACK OR AFRICAN AMERICAN
LCMT2	15q15.3	0.13	0.08	0.10	0.09	0.05	3.975e-5	1.831e-3	(A) BLACK OR AFRICAN AMERICAN
NR2F6	19p13.11	0.71	0.58	0.23	0.22	0.13	4.004e-5	1.839e-3	(A) BLACK OR AFRICAN AMERICAN
SMG6	17p13.3	0.49	0.37	0.22	0.20	0.12	4.024e-5	1.843e-3	(A) BLACK OR AFRICAN AMERICAN
CSNK1G1	15q22.31	0.81	0.71	0.17	0.20	0.10	4.038e-5	1.843e-3	(A) BLACK OR AFRICAN AMERICAN
DUOX2	15q21.1	0.18	0.24	0.10	0.13	-0.06	4.048e-5	1.843e-3	(B) WHITE
COX18	4q13.3	0.04	0.03	0.01	0.01	0.01	4.077e-5	1.850e-3	(A) BLACK OR AFRICAN AMERICAN
ACTN3	11q13.2	0.03	0.04	0.02	0.03	-0.01	4.102e-5	1.856e-3	(B) WHITE
YWHAG	7q11.23	0.02	0.01	0.01	0.01	0.00	4.149e-5	1.872e-3	(A) BLACK OR AFRICAN AMERICAN
TBC1D7	6p24.1	0.74	0.85	0.21	0.14	-0.11	4.197e-5	1.888e-3	(B) WHITE
C6ORF136	6p21.33	0.91	0.93	0.02	0.03	-0.01	4.221e-5	1.888e-3	(B) WHITE
PWP2	21q22.3	0.92	0.93	0.03	0.03	-0.02	4.228e-5	1.888e-3	(B) WHITE
ENSA	1q21.3	0.07	0.08	0.02	0.03	-0.01	4.233e-5	1.888e-3	(B) WHITE
RPIA	2p11.2	0.56	0.63	0.14	0.11	-0.07	4.278e-5	1.902e-3	(B) WHITE
RPL13P5	12p13.31	0.93	0.94	0.02	0.02	-0.01	4.305e-5	1.908e-3	(B) WHITE
TRIM6	11p15.4	0.20	0.25	0.08	0.11	-0.05	4.325e-5	1.911e-3	(B) WHITE
KCNK10	14q31.3	0.17	0.27	0.17	0.20	-0.09	4.336e-5	1.911e-3	(B) WHITE
CLIC6	21q22.12	0.62	0.54	0.13	0.16	0.07	4.377e-5	1.923e-3	(A) BLACK OR AFRICAN AMERICAN
CD81	11p15.5	0.80	0.84	0.08	0.06	-0.04	4.413e-5	1.930e-3	(B) WHITE
MIIP	1p36.22	0.94	0.95	0.02	0.02	-0.01	4.417e-5	1.930e-3	(B) WHITE
TOR1AIP2	1q25.2	0.04	0.03	0.01	0.02	0.01	4.463e-5	1.944e-3	(A) BLACK OR AFRICAN AMERICAN
PPP2R2B	5q32	0.62	0.75	0.25	0.17	-0.13	4.507e-5	1.950e-3	(B) WHITE
BAD	11q13.1	0.04	0.05	0.02	0.02	-0.01	4.516e-5	1.950e-3	(B) WHITE
DBP	19q13.33	0.12	0.15	0.06	0.05	-0.03	4.522e-5	1.950e-3	(B) WHITE
CPLANE1	5p13.2	0.77	0.64	0.23	0.25	0.13	4.526e-5	1.950e-3	(A) BLACK OR AFRICAN AMERICAN
WFDC1	16q24.1	0.78	0.88	0.20	0.09	-0.10	4.587e-5	1.970e-3	(B) WHITE
TAF1D	11q21	0.50	0.63	0.23	0.21	-0.12	4.599e-5	1.970e-3	(B) WHITE
GJB5	1p34.3	0.57	0.67	0.20	0.16	-0.11	4.628e-5	1.977e-3	(B) WHITE
DTX4	11q12.1	0.36	0.47	0.21	0.20	-0.12	4.649e-5	1.981e-3	(B) WHITE
NOSTRIN	2q24.3	0.66	0.55	0.20	0.19	0.11	4.668e-5	1.983e-3	(A) BLACK OR AFRICAN AMERICAN
ZNF512B	20q13.33	0.83	0.85	0.03	0.03	-0.02	4.708e-5	1.994e-3	(B) WHITE
ATG2A	11q13.1	0.82	0.84	0.04	0.04	-0.02	4.812e-5	2.028e-3	(B) WHITE
CASZ1	1p36.22	0.63	0.52	0.20	0.18	0.11	4.814e-5	2.028e-3	(A) BLACK OR AFRICAN AMERICAN
CDK11B	1p36.33	0.80	0.83	0.06	0.04	-0.03	4.850e-5	2.036e-3	(B) WHITE
TENT2	5q14.1	0.02	0.02	0.00	0.00	0.00	4.860e-5	2.036e-3	(A) BLACK OR AFRICAN AMERICAN
CDK10	16q24.3	0.90	0.91	0.03	0.03	-0.02	4.887e-5	2.042e-3	(B) WHITE
GSTA4	6p12.2	0.54	0.67	0.25	0.19	-0.13	4.923e-5	2.046e-3	(B) WHITE
LAIR1	19q13.42	0.48	0.58	0.19	0.18	-0.10	4.924e-5	2.046e-3	(B) WHITE
NKPD1	19q13.32	0.78	0.80	0.04	0.04	-0.02	5.012e-5	2.077e-3	(B) WHITE
TCOF1	5q32-q33.1	0.14	0.20	0.11	0.15	-0.06	5.043e-5	2.084e-3	(B) WHITE
OGFOD3	17q25.3	0.87	0.89	0.03	0.03	-0.02	5.092e-5	2.085e-3	(B) WHITE
ALKBH1	14q24.3	0.75	0.63	0.23	0.21	0.12	5.103e-5	2.085e-3	(A) BLACK OR AFRICAN AMERICAN
MYH7B	20q11.22	0.88	0.91	0.05	0.04	-0.03	5.108e-5	2.085e-3	(B) WHITE
ZNF774	15q26.1	0.02	0.02	0.00	0.00	0.00	5.121e-5	2.085e-3	(A) BLACK OR AFRICAN AMERICAN
ATF6B	6p21.32	0.83	0.85	0.03	0.03	-0.02	5.130e-5	2.085e-3	(B) WHITE
MARCH2	19p13.2	0.80	0.81	0.03	0.03	-0.01	5.139e-5	2.085e-3	(B) WHITE
EMC3	3p25.3	0.72	0.61	0.21	0.22	0.11	5.143e-5	2.085e-3	(A) BLACK OR AFRICAN AMERICAN
FSCN1	7p22.1	0.64	0.76	0.22	0.14	-0.12	5.153e-5	2.085e-3	(B) WHITE
HSF4	16q22.1	0.82	0.85	0.05	0.04	-0.03	5.210e-5	2.101e-3	(B) WHITE
ECSIT	19p13.2	0.77	0.85	0.16	0.10	-0.08	5.221e-5	2.101e-3	(B) WHITE
UHRF1BP1L	12q23.1	0.03	0.02	0.01	0.01	0.01	5.269e-5	2.112e-3	(A) BLACK OR AFRICAN AMERICAN
NEO1	15q24.1	0.14	0.12	0.04	0.04	0.02	5.275e-5	2.112e-3	(A) BLACK OR AFRICAN AMERICAN
EVL	14q32.2	0.62	0.54	0.15	0.15	0.08	5.329e-5	2.115e-3	(A) BLACK OR AFRICAN AMERICAN
RGS13	1q31.2	0.71	0.59	0.22	0.25	0.12	5.338e-5	2.115e-3	(A) BLACK OR AFRICAN AMERICAN
MADD	11p11.2	0.62	0.50	0.23	0.20	0.12	5.349e-5	2.115e-3	(A) BLACK OR AFRICAN AMERICAN
PDXK	21q22.3	0.66	0.76	0.20	0.15	-0.11	5.360e-5	2.115e-3	(B) WHITE
TAPT1	4p15.32	0.56	0.44	0.24	0.19	0.12	5.361e-5	2.115e-3	(A) BLACK OR AFRICAN AMERICAN
NOVA1	14q12	0.34	0.20	0.26	0.20	0.14	5.366e-5	2.115e-3	(A) BLACK OR AFRICAN AMERICAN
STIMATE	3p21.1	0.74	0.65	0.15	0.19	0.08	5.463e-5	2.148e-3	(A) BLACK OR AFRICAN AMERICAN
ADCY9	16p13.3	0.63	0.54	0.16	0.12	0.08	5.616e-5	2.196e-3	(A) BLACK OR AFRICAN AMERICAN
SIDT1	3q13.2	0.30	0.18	0.22	0.14	0.12	5.625e-5	2.196e-3	(A) BLACK OR AFRICAN AMERICAN
STAC	3p22.3-p22.2	0.28	0.40	0.21	0.21	-0.11	5.629e-5	2.196e-3	(B) WHITE
ZMIZ1	10q22.3	0.57	0.46	0.23	0.16	0.12	5.680e-5	2.205e-3	(A) BLACK OR AFRICAN AMERICAN
PRICKLE2	3p14.1	0.55	0.43	0.21	0.19	0.11	5.681e-5	2.205e-3	(A) BLACK OR AFRICAN AMERICAN
FLNB	3p14.3	0.54	0.46	0.16	0.16	0.08	5.738e-5	2.221e-3	(A) BLACK OR AFRICAN AMERICAN
PRUNE1	1q21.3	0.52	0.42	0.19	0.17	0.10	5.754e-5	2.222e-3	(A) BLACK OR AFRICAN AMERICAN
MATN4	20q13.12	0.65	0.72	0.14	0.11	-0.07	5.796e-5	2.228e-3	(B) WHITE
BAK1	6p21.31	0.71	0.77	0.10	0.09	-0.05	5.805e-5	2.228e-3	(B) WHITE
GLI3	7p14.1	0.78	0.68	0.18	0.17	0.10	5.826e-5	2.228e-3	(A) BLACK OR AFRICAN AMERICAN
ANKFY1	17p13.2	0.03	0.02	0.01	0.01	0.01	5.826e-5	2.228e-3	(A) BLACK OR AFRICAN AMERICAN
HMGN2P46	15q21.1	0.60	0.48	0.23	0.19	0.12	5.900e-5	2.232e-3	(A) BLACK OR AFRICAN AMERICAN
YBX1	1p34.2	0.61	0.75	0.25	0.21	-0.13	5.901e-5	2.232e-3	(B) WHITE
LGALS8	1q43	0.82	0.75	0.13	0.16	0.07	5.901e-5	2.232e-3	(A) BLACK OR AFRICAN AMERICAN
TTC12	11q23.2	0.56	0.46	0.19	0.17	0.10	5.902e-5	2.232e-3	(A) BLACK OR AFRICAN AMERICAN
TMEM26	10q21.2	0.80	0.71	0.16	0.21	0.09	5.930e-5	2.232e-3	(A) BLACK OR AFRICAN AMERICAN
UBE3D	6q14.1	0.04	0.07	0.05	0.11	-0.03	5.939e-5	2.232e-3	(B) WHITE
HFM1	1p22.2	0.20	0.31	0.19	0.22	-0.11	5.940e-5	2.232e-3	(B) WHITE
PIK3R6	17p13.1	0.57	0.66	0.17	0.13	-0.09	6.181e-5	2.317e-3	(B) WHITE
ZNF385A	12q13.13	0.54	0.44	0.20	0.21	0.11	6.241e-5	2.333e-3	(A) BLACK OR AFRICAN AMERICAN
AGT	1q42.2	0.59	0.51	0.16	0.18	0.09	6.276e-5	2.341e-3	(A) BLACK OR AFRICAN AMERICAN
COQ10A	12q13.3	0.58	0.49	0.16	0.17	0.08	6.298e-5	2.343e-3	(A) BLACK OR AFRICAN AMERICAN
LASP1	17q12	0.34	0.25	0.16	0.12	0.08	6.361e-5	2.350e-3	(A) BLACK OR AFRICAN AMERICAN
S100A10	1q21.3	0.55	0.69	0.26	0.22	-0.14	6.370e-5	2.350e-3	(B) WHITE
PLEKHG4B	5p15.33	0.83	0.87	0.08	0.06	-0.04	6.373e-5	2.350e-3	(B) WHITE
ITPRIP	10q25.1	0.42	0.53	0.20	0.16	-0.11	6.376e-5	2.350e-3	(B) WHITE
LMNA	1q22	0.87	0.89	0.03	0.03	-0.02	6.401e-5	2.353e-3	(B) WHITE
PIGS	17q11.2	0.45	0.35	0.19	0.14	0.10	6.442e-5	2.362e-3	(A) BLACK OR AFRICAN AMERICAN
FBP2	9q22.32	0.76	0.85	0.18	0.09	-0.09	6.457e-5	2.362e-3	(B) WHITE
RRM2	2p25.1	0.69	0.80	0.21	0.15	-0.11	6.473e-5	2.363e-3	(B) WHITE
SOWAHA	5q31.1	0.85	0.80	0.09	0.16	0.06	6.534e-5	2.379e-3	(A) BLACK OR AFRICAN AMERICAN
MPP6	7p15.3	0.48	0.59	0.22	0.19	-0.11	6.549e-5	2.379e-3	(B) WHITE
KRT17	17q21.2	0.58	0.69	0.22	0.18	-0.11	6.601e-5	2.380e-3	(B) WHITE
KCNJ11	11p15.1	0.78	0.71	0.12	0.17	0.07	6.603e-5	2.380e-3	(A) BLACK OR AFRICAN AMERICAN
SMARCA4	19p13.2	0.89	0.90	0.02	0.03	-0.01	6.610e-5	2.380e-3	(B) WHITE
FBXW4	10q24.32	0.65	0.53	0.24	0.20	0.13	6.614e-5	2.380e-3	(A) BLACK OR AFRICAN AMERICAN
CIRBP	19p13.3	0.52	0.40	0.22	0.19	0.12	6.721e-5	2.381e-3	(A) BLACK OR AFRICAN AMERICAN
CA12	15q22.2	0.52	0.41	0.21	0.16	0.11	6.725e-5	2.381e-3	(A) BLACK OR AFRICAN AMERICAN
OGN	9q22.31	0.86	0.90	0.07	0.06	-0.03	6.728e-5	2.381e-3	(B) WHITE
CARD19	9q22.31	0.17	0.11	0.12	0.09	0.06	6.736e-5	2.381e-3	(A) BLACK OR AFRICAN AMERICAN
ARL3	10q24.32	0.43	0.37	0.12	0.12	0.06	6.742e-5	2.381e-3	(A) BLACK OR AFRICAN AMERICAN
AP5Z1	7p22.1	0.90	0.91	0.02	0.02	-0.01	6.742e-5	2.381e-3	(B) WHITE
LONP1	19p13.3	0.90	0.92	0.03	0.02	-0.02	6.744e-5	2.381e-3	(B) WHITE
PTBP3	9q32	0.36	0.48	0.22	0.23	-0.12	6.745e-5	2.381e-3	(B) WHITE
NUMA1	11q13.4	0.61	0.46	0.28	0.23	0.15	6.758e-5	2.381e-3	(A) BLACK OR AFRICAN AMERICAN
TRABD	22q13.33	0.61	0.72	0.22	0.16	-0.11	6.782e-5	2.384e-3	(B) WHITE
SCAMP1	5q14.1	0.03	0.02	0.01	0.00	0.00	6.858e-5	2.398e-3	(A) BLACK OR AFRICAN AMERICAN
VGLL4	3p25.3-p25.2	0.59	0.72	0.24	0.17	-0.12	6.869e-5	2.398e-3	(B) WHITE
ZNF320	19q13.41	0.53	0.43	0.18	0.15	0.09	6.882e-5	2.398e-3	(A) BLACK OR AFRICAN AMERICAN
ZNF787	19q13.43	0.92	0.93	0.02	0.02	-0.01	6.885e-5	2.398e-3	(B) WHITE
PCK2	14q11.2-q12	0.22	0.27	0.10	0.12	-0.06	6.898e-5	2.398e-3	(B) WHITE
PMS2P3	7q11.23	0.04	0.05	0.02	0.03	-0.01	6.991e-5	2.424e-3	(B) WHITE
FAM66C	12p13.31	0.24	0.18	0.10	0.10	0.05	7.013e-5	2.427e-3	(A) BLACK OR AFRICAN AMERICAN
RBFA	18q23	0.88	0.91	0.05	0.03	-0.02	7.078e-5	2.436e-3	(B) WHITE
THSD4	15q23	0.80	0.71	0.17	0.17	0.09	7.085e-5	2.436e-3	(A) BLACK OR AFRICAN AMERICAN
PLAUR	19q13.31	0.64	0.76	0.23	0.17	-0.12	7.094e-5	2.436e-3	(B) WHITE
SPDYE2	7q22.1	0.70	0.73	0.05	0.05	-0.03	7.105e-5	2.436e-3	(B) WHITE
PLIN3	19p13.3	0.74	0.79	0.10	0.07	-0.05	7.143e-5	2.442e-3	(B) WHITE
FOXN1	17q11.2	0.56	0.44	0.23	0.18	0.12	7.155e-5	2.442e-3	(A) BLACK OR AFRICAN AMERICAN
CFAP45	1q23.2	0.44	0.29	0.29	0.22	0.15	7.184e-5	2.447e-3	(A) BLACK OR AFRICAN AMERICAN
CAMK2B	7p13	0.56	0.43	0.26	0.20	0.13	7.249e-5	2.458e-3	(A) BLACK OR AFRICAN AMERICAN
GIMAP8	7q36.1	0.47	0.57	0.19	0.18	-0.10	7.255e-5	2.458e-3	(B) WHITE
