Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
CHAMP1	13q34	0.03	0.03	0.01	0.01	0.01	4.901e-6	5.353e-4	(A) BLACK OR AFRICAN AMERICAN
MTHFR	1p36.22	0.77	0.71	0.11	0.14	0.07	4.966e-6	5.387e-4	(A) BLACK OR AFRICAN AMERICAN
ID1	20q11.21	0.07	0.08	0.03	0.03	-0.02	5.021e-6	5.408e-4	(B) WHITE
GRAMD1A	19q13.11	0.92	0.93	0.02	0.03	-0.01	5.127e-6	5.478e-4	(B) WHITE
MGC16275	17q25.1	0.64	0.75	0.18	0.14	-0.11	5.158e-6	5.478e-4	(B) WHITE
ANXA2R	5p12	0.31	0.46	0.25	0.26	-0.16	5.246e-6	5.524e-4	(B) WHITE
HMGCR	5q13.3	0.02	0.02	0.00	0.00	0.00	5.274e-6	5.524e-4	(A) BLACK OR AFRICAN AMERICAN
HGS	17q25.3	0.91	0.92	0.02	0.02	-0.01	5.350e-6	5.566e-4	(B) WHITE
POLRMT	19p13.3	0.10	0.13	0.05	0.05	-0.03	5.396e-6	5.576e-4	(B) WHITE
TPO	2p25.3	0.81	0.75	0.10	0.10	0.06	5.459e-6	5.603e-4	(A) BLACK OR AFRICAN AMERICAN
ENTPD5	14q24.3	0.87	0.77	0.15	0.21	0.10	5.637e-6	5.747e-4	(A) BLACK OR AFRICAN AMERICAN
ENKD1	16q22.1	0.88	0.89	0.03	0.02	-0.02	5.731e-6	5.804e-4	(B) WHITE
KSR1	17q11.2	0.61	0.70	0.15	0.12	-0.09	5.799e-6	5.808e-4	(B) WHITE
MYO1D	17q11.2	0.66	0.53	0.22	0.22	0.14	5.811e-6	5.808e-4	(A) BLACK OR AFRICAN AMERICAN
ACOX2	3p14.3	0.63	0.53	0.17	0.18	0.10	5.982e-6	5.941e-4	(A) BLACK OR AFRICAN AMERICAN
HS3ST3A1	17p12	0.52	0.62	0.17	0.15	-0.10	6.040e-6	5.959e-4	(B) WHITE
PDE7A	8q13.1	0.61	0.77	0.26	0.18	-0.15	6.150e-6	6.029e-4	(B) WHITE
KCNN4	19q13.31	0.29	0.42	0.21	0.20	-0.13	6.309e-6	6.146e-4	(B) WHITE
IGFBP4	17q21.2	0.74	0.65	0.14	0.18	0.09	6.896e-6	6.610e-4	(A) BLACK OR AFRICAN AMERICAN
MFHAS1	8p23.1	0.50	0.62	0.21	0.17	-0.12	6.948e-6	6.610e-4	(B) WHITE
DCTN5	16p12.2	0.01	0.01	0.00	0.00	0.00	6.985e-6	6.610e-4	(A) BLACK OR AFRICAN AMERICAN
KCNG2	18q23	0.88	0.84	0.05	0.08	0.03	7.071e-6	6.610e-4	(A) BLACK OR AFRICAN AMERICAN
XDH	2p23.1	0.52	0.68	0.26	0.18	-0.15	7.084e-6	6.610e-4	(B) WHITE
APMAP	20p11.21	0.77	0.67	0.17	0.20	0.10	7.193e-6	6.610e-4	(A) BLACK OR AFRICAN AMERICAN
CROCCP2	1p36.13	0.80	0.83	0.04	0.03	-0.02	7.216e-6	6.610e-4	(B) WHITE
AP2S1	19q13.32	0.12	0.15	0.05	0.05	-0.03	7.226e-6	6.610e-4	(B) WHITE
